transaction_id,from_account,to_account,amount,timestamp,channel,label
TX_000001,ACC_0033,ACC_0044,344.91,2023-07-31 21:08:48,online,normal
TX_000002,ACC_0067,ACC_0120,143.34,2023-10-19 19:54:57,branch,normal
TX_000003,ACC_0046,ACC_0136,1472.04,2023-01-23 01:25:04,branch,normal
TX_000004,ACC_0022,ACC_0066,552.36,2023-01-12 13:08:10,atm,normal
TX_000005,ACC_0110,ACC_0069,49.37,2023-04-05 21:45:30,online,normal
TX_000006,ACC_0029,ACC_0063,139.05,2023-06-07 00:55:54,online,normal
TX_000007,ACC_0004,ACC_0090,1904.02,2023-11-09 16:29:11,branch,normal
TX_000008,ACC_0093,ACC_0031,475.69,2023-04-21 01:05:14,online,normal
TX_000009,ACC_0091,ACC_0147,737.65,2023-05-07 06:27:24,branch,normal
TX_000010,ACC_0072,ACC_0007,247.48,2023-01-15 21:49:37,wire,normal
TX_000011,ACC_0081,ACC_0060,1623.28,2023-05-25 01:47:03,online,normal
TX_000012,ACC_0121,ACC_0139,103.29,2023-10-20 15:33:40,online,normal
TX_000013,ACC_0096,ACC_0050,4.08,2023-06-02 16:59:15,branch,normal
TX_000014,ACC_0142,ACC_0025,37.44,2023-02-12 02:03:15,wire,normal
TX_000015,ACC_0032,ACC_0045,125.29,2023-11-08 20:05:09,online,normal
TX_000016,ACC_0064,ACC_0132,442.95,2023-07-09 21:42:01,online,normal
TX_000017,ACC_0074,ACC_0025,30.69,2023-01-14 07:05:21,branch,normal
TX_000018,ACC_0149,ACC_0120,429.03,2023-09-02 16:40:32,wire,normal
TX_000019,ACC_0044,ACC_0055,1319.03,2023-09-11 22:14:00,online,normal
TX_000020,ACC_0019,ACC_0076,144.34,2023-11-07 21:26:57,online,normal
TX_000021,ACC_0031,ACC_0100,23.16,2023-09-25 05:56:59,online,normal
TX_000022,ACC_0086,ACC_0150,358.47,2023-10-07 22:05:05,wire,normal
TX_000023,ACC_0131,ACC_0150,779.1,2023-12-28 03:39:41,branch,normal
TX_000024,ACC_0096,ACC_0124,112.58,2023-01-21 19:41:11,online,normal
TX_000025,ACC_0008,ACC_0036,3916.02,2023-11-26 05:30:51,online,normal
TX_000026,ACC_0128,ACC_0007,188.2,2023-01-29 05:19:36,online,normal
TX_000027,ACC_0103,ACC_0066,13.05,2023-07-14 15:19:05,online,normal
TX_000028,ACC_0038,ACC_0100,258.19,2023-07-23 03:20:17,online,normal
TX_000029,ACC_0001,ACC_0006,139.48,2023-03-30 06:34:03,wire,normal
TX_000030,ACC_0122,ACC_0044,285.89,2023-01-05 18:11:23,branch,normal
TX_000031,ACC_0080,ACC_0038,271.32,2023-01-27 23:10:57,wire,normal
TX_000032,ACC_0097,ACC_0023,437.84,2023-03-03 21:12:05,wire,normal
TX_000033,ACC_0107,ACC_0146,4541.14,2023-12-04 03:32:52,online,normal
TX_000034,ACC_0101,ACC_0029,56.39,2023-07-05 17:10:13,online,normal
TX_000035,ACC_0084,ACC_0031,67.77,2023-07-03 01:57:05,atm,normal
TX_000036,ACC_0115,ACC_0054,1264.84,2023-08-20 11:31:22,online,normal
TX_000037,ACC_0029,ACC_0145,274.41,2023-01-22 21:32:10,online,normal
TX_000038,ACC_0055,ACC_0106,233.59,2023-08-25 07:44:54,online,normal
TX_000039,ACC_0128,ACC_0085,590.94,2023-07-27 15:04:53,wire,normal
TX_000040,ACC_0126,ACC_0044,63.88,2023-05-21 07:45:08,online,normal
TX_000041,ACC_0059,ACC_0012,12.52,2023-02-23 19:41:47,online,normal
TX_000042,ACC_0147,ACC_0051,644.55,2023-08-05 11:36:22,branch,normal
TX_000043,ACC_0066,ACC_0010,475.83,2023-06-28 11:52:47,online,normal
TX_000044,ACC_0112,ACC_0052,53.76,2023-09-27 04:42:23,online,normal
TX_000045,ACC_0041,ACC_0039,1453.06,2023-01-26 19:21:49,wire,normal
TX_000046,ACC_0021,ACC_0145,55.16,2023-06-03 08:18:32,online,normal
TX_000047,ACC_0068,ACC_0056,476.66,2023-05-06 13:39:41,wire,normal
TX_000048,ACC_0105,ACC_0026,107.07,2023-05-22 19:43:50,wire,normal
TX_000049,ACC_0077,ACC_0076,156.14,2023-12-12 14:45:07,wire,normal
TX_000050,ACC_0024,ACC_0077,688.44,2023-05-28 12:16:46,branch,normal
TX_000051,ACC_0081,ACC_0109,127.91,2023-05-12 21:36:46,online,normal
TX_000052,ACC_0119,ACC_0020,211.5,2023-04-24 08:40:07,online,normal
TX_000053,ACC_0123,ACC_0111,248.97,2023-05-21 14:24:42,online,normal
TX_000054,ACC_0087,ACC_0082,341.45,2023-09-15 14:05:16,online,normal
TX_000055,ACC_0094,ACC_0053,208.13,2023-02-23 13:59:13,atm,normal
TX_000056,ACC_0055,ACC_0010,66.33,2023-05-06 17:40:51,online,normal
TX_000057,ACC_0004,ACC_0087,55.65,2023-09-13 21:55:26,branch,normal
