account_id,in_degree,out_degree,degree_ratio,pagerank,betweenness,clustering_coeff,total_sent,total_received,n_txn_sent,n_txn_received,unique_receivers,unique_senders,avg_sent_amount,std_sent_amount,round_amount_ratio,max_hourly_velocity,device_diversity,is_smurf_related,role,iso_forest_score,reconstruction_score,risk_score,risk_percentile,alert_status,is_seed,network_flag,final_alert
SINK_03,56,0,0.0175438596491228,0.0035456765365108,0.0,0.0,0.0,496741.15,0,56,0,56,0.0,0.0,0.0,0,0,True,sink,0.9891548226669008,0.9999999998114302,0.9934928935247124,100.0,CRITICAL,True,0.0,True
SINK_00,48,0,0.0204081632653061,0.0030567621674525,0.0,0.0,0.0,431920.99,0,48,0,48,0.0,0.0,0.0,0,0,True,sink,0.97536082497054,0.7661122048962969,0.8916613769408428,99.95748299319727,CRITICAL,True,0.0,True
SINK_01,47,0,0.0208333333333333,0.0029956478713202,0.0,0.0,0.0,419928.02,0,47,0,47,0.0,0.0,0.0,0,0,True,sink,0.97536082497054,0.7184022702138821,0.8725774030678768,99.91496598639456,CRITICAL,True,0.0,True
SINK_06,44,0,0.0222222222222222,0.0028123049829233,0.0,0.0,0.0,390392.37,0,44,0,44,0.0,0.0,0.0,0,0,True,sink,0.9627097287285628,0.6163862450872435,0.824180335272035,99.87244897959184,CRITICAL,True,0.0,True
SINK_07,40,0,0.024390243902439,0.0025678477983941,0.0,0.0,0.0,356714.07,0,40,0,40,0.0,0.0,0.0,0,0,True,sink,0.9487924568579748,0.5187770406832234,0.7767862903880742,99.82993197278913,CRITICAL,True,0.0,True
SINK_05,39,0,0.025,0.0025067335022618,0.0,0.0,0.0,347360.44,0,39,0,39,0.0,0.0,0.0,0,0,True,sink,0.9398201132339224,0.491801352826735,0.7606126090710474,99.7874149659864,CRITICAL,True,0.0,True
SINK_04,31,0,0.03125,0.0020178191332035,0.0,0.0,0.0,276553.52,0,31,0,31,0.0,0.0,0.0,0,0,True,sink,0.8856182884278561,0.3190751955896133,0.659001051292559,99.74489795918367,CRITICAL,True,0.0,True
SINK_02,31,0,0.03125,0.0020178191332035,0.0,0.0,0.0,272745.1,0,31,0,31,0.0,0.0,0.0,0,0,True,sink,0.88354935802976,0.3061514427989064,0.6525901919374185,99.70238095238096,CRITICAL,True,0.0,True
KING_03,0,56,57.0,7.153249159373995e-05,0.0,0.0,512199.66,0.0,56,0,56,0,9146.4225,356.4393579137973,0.0178571428571428,41,1,True,kingpin,0.9999999973785638,0.0485702027559195,0.6194280795295061,99.65986394557824,CRITICAL,True,0.0,True
KING_00,0,48,49.0,7.153249159373995e-05,0.0,0.0,445365.52,0.0,48,0,48,0,9278.448333333334,411.31230956709584,0.0,38,1,True,kingpin,0.9923367582998568,0.0599915889813853,0.6193986905724682,99.61734693877553,CRITICAL,True,0.0,True
