account_id,in_degree,out_degree,degree_ratio,pagerank,betweenness,clustering_coeff,total_sent,total_received,n_txn_sent,n_txn_received,unique_receivers,unique_senders,avg_sent_amount,std_sent_amount,round_amount_ratio,max_hourly_velocity,device_diversity,is_smurf_related,role
ACC_01576,7,6,0.875,0.0005930649103782368,0.0006638297872340426,0.0,13556.8,16651.99,28,36,6,7,484.1714285714285,351.4351933694523,0.0,2,28,False,normal
ACC_01226,9,8,0.9,0.0006863529167571874,0.0029761702127659574,0.014705882352941176,17435.01,14260.95,33,30,8,9,528.3336363636363,382.91858027211697,0.0,1,33,False,normal
ACC_01041,7,11,1.5,0.00074931097470274,0.0006301965633394448,0.013071895424836602,16976.96,24047.04,31,45,11,7,547.6438709677419,369.3683391925322,0.0,1,31,False,normal
ACC_00937,13,12,0.9285714285714286,0.0006036303302463734,0.006890376497676204,0.013333333333333334,15462.16,17142.8,33,40,12,13,468.55030303030304,310.3955391259357,0.030303030303030304,1,33,False,normal
ACC_00234,15,8,0.5625,0.000953406787908614,0.0016476595744680852,0.003952569169960474,16658.65,32387.53,27,51,8,15,616.9870370370371,341.05433609295494,0.0,2,27,False,normal
ACC_00341,7,9,1.25,0.0009622430652062678,0.00024,0.008333333333333333,11536.36,20289.239999999998,24,36,9,7,480.6816666666667,375.8849738679509,0.0,1,24,False,normal
ACC_00419,3,9,2.5,9.874184126073502e-05,0.00040255319148936174,0.0,16969.15,1239.94,27,3,9,3,628.4870370370371,448.2652901404807,0.0,1,27,False,normal
ACC_01006,12,6,0.5384615384615384,0.00038185463869655977,0.000476698077005074,0.013071895424836602,8887.32,15322.369999999999,23,34,6,12,386.40521739130435,209.89406312513432,0.0,1,22,False,normal
ACC_01538,4,8,1.8,0.0002630655998078101,0.00019357864665501217,0.015151515151515152,16576.86,7411.9,33,16,8,4,502.32909090909095,333.72440451819335,0.0,1,33,False,normal
ACC_01947,6,5,0.8571428571428571,0.0002833840830991206,1.7021276595744682e-06,0.0,14539.5,9896.84,27,15,5,6,538.5,402.3964300002214,0.037037037037037035,2,27,False,normal
ACC_01288,3,9,2.5,0.00034911292778774973,0.0008434042553191489,0.0,11675.24,8863.34,24,15,9,3,486.4683333333333,389.16799831196926,0.041666666666666664,1,24,False,normal
ACC_01420,18,6,0.3684210526315789,0.0006358330715982987,0.0039880851063829785,0.0036231884057971015,9871.66,27015.16,22,57,6,18,448.71181818181816,252.90540576113327,0.0,1,22,False,normal
ACC_01128,5,6,1.1666666666666667,0.0006135924148004426,0.00047659574468085107,0.0,11144.46,5866.43,20,11,6,5,557.223,346.0868726520918,0.0,1,20,False,normal
ACC_00936,6,6,1.0,0.00038138909168238525,0.002126806805099561,0.0,11783.45,8859.84,30,22,6,6,392.7816666666667,243.54501736503116,0.0,1,29,False,normal
ACC_00648,12,9,0.7692307692307693,0.0010571739888016324,0.004534468085106384,0.010526315789473684,9711.43,31742.02,22,54,9,12,441.4286363636364,283.3527338393657,0.045454545454545456,1,22,False,normal
ACC_01449,16,10,0.6470588235294118,0.0008638791912664662,0.008442553191489363,0.006153846153846154,14235.42,23232.510000000002,25,49,10,16,569.4168,358.04640865070365,0.0,1,25,False,normal
ACC_00822,10,6,0.6363636363636364,0.0006562583340256712,0.0027940425531914896,0.041666666666666664,14521.76,15743.38,30,30,6,10,484.0586666666667,285.65629675192355,0.06666666666666667,1,30,False,normal
ACC_01286,6,6,1.0,0.00032685428254306773,0.0006102127659574468,0.015151515151515152,13794.65,12313.74,28,26,6,6,492.6660714285714,386.5637844769992,0.0,2,28,False,normal
ACC_01523,9,5,0.6,0.0005027808241939937,2.6382978723404258e-05,0.0,12115.26,16965.579999999998,22,27,5,9,550.6936363636364,268.54729159729476,0.0,1,22,False,normal
ACC_00433,11,7,0.6666666666666666,0.0008629011633589565,0.0006898904191361447,0.013071895424836602,10565.29,18051.95,23,39,7,11,459.3604347826087,297.4651089009243,0.0,1,23,False,normal
ACC_00455,7,8,1.125,0.0007782653569999742,0.0016485106382978724,0.009523809523809525,11181.76,9458.3,26,21,8,7,430.0676923076923,313.3521067337214,0.0,1,25,False,normal
ACC_01245,5,6,1.1666666666666667,0.0006235756992300834,0.0011914893617021277,0.01818181818181818,10700.970000000001,17495.78,26,28,6,5,411.57576923076925,259.8370129473178,0.038461538461538464,1,25,False,normal
ACC_00661,3,13,3.5,0.0003390893578570169,2.6382978723404258e-05,0.008333333333333333,14672.11,9244.11,32,21,13,3,458.5034375,390.273562927417,0.0,1,32,False,normal
ACC_00388,12,7,0.6153846153846154,0.0006571036954933048,0.0012476595744680852,0.011695906432748537,13793.76,26658.47,27,49,7,12,510.88,342.11250038996957,0.0,1,27,False,normal
ACC_01959,10,11,1.0909090909090908,0.0005291980640882148,0.001988936170212766,0.004761904761904762,20206.63,11410.970000000001,37,26,11,10,546.1251351351351,373.8813323296104,0.0,1,36,False,normal
ACC_00878,7,8,1.125,0.0005499331201786123,8.425531914893617e-05,0.0,15577.47,12479.01,30,22,8,7,519.249,285.7713605779133,0.0,2,29,False,normal
ACC_01605,11,5,0.5,0.0008789135680096648,0.0008041615145183985,0.016666666666666666,13206.37,27409.45,27,56,5,11,489.12481481481484,348.25723520420905,0.0,1,25,False,normal
ACC_00245,6,9,1.4285714285714286,0.0006549300550049819,0.003021276595744681,0.009523809523809525,15824.09,12717.78,27,28,9,6,586.0774074074075,402.8560455680319,0.0,1,27,False,normal
ACC_01698,4,4,1.0,0.0003009563736783809,1.7021276595744682e-06,0.0,13564.45,10461.37,31,17,4,4,437.56290322580645,380.16910069242914,0.06451612903225806,1,31,False,normal
ACC_00808,9,9,1.0,0.0006681649637968543,0.004050654500490343,0.0,11726.55,17155.73,20,37,9,9,586.3275,398.39478505193676,0.0,1,20,False,normal
ACC_00622,9,7,0.8,0.0002608241335975927,0.01050808510638298,0.03333333333333333,14590.22,5670.02,26,14,7,9,561.1623076923076,444.041298586586,0.0,1,26,False,normal
ACC_01703,4,10,2.2,0.000307251021108924,0.0030672340425531917,0.02197802197802198,11882.38,11081.95,23,17,10,4,516.6252173913043,253.08205731576047,0.043478260869565216,1,22,False,normal
ACC_01995,10,8,0.8181818181818182,0.0011090297653839768,0.0014462968490171833,0.006535947712418301,10251.8,29831.08,23,59,8,10,445.73043478260865,276.388184303399,0.0,1,21,False,normal
ACC_01952,4,12,2.6,0.000497414140340038,0.007069787234042554,0.025,14040.789999999999,5000.28,29,13,12,4,484.1651724137931,268.71619877298974,0.0,1,28,False,normal
ACC_00552,6,10,1.5714285714285714,0.00021108451086557014,0.0015591489361702127,0.008333333333333333,14442.55,6843.08,30,15,10,6,481.4183333333333,311.53303391657255,0.03333333333333333,1,30,False,normal
ACC_01225,7,6,0.875,0.00034925996104385884,7.148936170212766e-05,0.01282051282051282,11980.12,12203.39,22,24,6,7,544.5509090909092,220.9826832454803,0.0,1,21,False,normal
ACC_00571,7,7,1.0,0.00040678685169346675,0.004021276595744681,0.0,8706.22,9141.03,16,18,7,7,544.13875,331.85665967653364,0.0,1,16,False,normal
ACC_00280,14,5,0.4,0.0003293450307639231,0.00508,0.005847953216374269,12896.07,9587.779999999999,24,20,5,14,537.33625,390.0859615165388,0.0,1,24,False,normal
ACC_00296,10,11,1.0909090909090908,0.0008586829009006114,0.001981836012450433,0.0,11811.82,17814.13,26,33,11,10,454.3007692307692,280.7008390571439,0.0,1,26,False,normal
ACC_00101,5,11,2.0,0.00038102699234362407,0.0023880851063829787,0.0,9853.51,7499.96,28,20,11,5,351.91107142857146,196.59249362745607,0.0,1,28,False,normal
ACC_01488,10,11,1.0909090909090908,0.0004315209372941295,0.004146382978723404,0.009523809523809525,11381.22,9931.45,21,20,11,10,541.9628571428572,376.58787543072674,0.0,1,20,False,normal
ACC_00147,7,9,1.25,0.0002476794026682351,0.0027421276595744684,0.008333333333333333,15261.81,4785.09,23,12,9,7,663.5569565217392,402.9344124322647,0.0,1,23,False,normal
ACC_00643,2,6,2.3333333333333335,0.00012786312049189205,0.001465531914893617,0.0,8422.67,1887.9,24,2,6,2,350.94458333333336,241.64200248515615,0.041666666666666664,1,22,False,normal
ACC_01170,14,5,0.4,0.0007069367425415065,0.003305531914893617,0.005847953216374269,11225.53,25674.96,26,58,5,14,431.7511538461539,336.33067494151555,0.038461538461538464,1,26,False,normal
ACC_01308,11,7,0.6666666666666666,0.0011610158801024784,0.00068,0.006535947712418301,8714.95,33715.48,21,60,7,11,414.9976190476191,307.41534650867317,0.0,1,20,False,normal
ACC_00702,11,5,0.5,0.0008957751608803378,0.0016187234042553192,0.016666666666666666,15157.36,17870.95,23,39,5,11,659.015652173913,479.73925015978574,0.0,1,23,False,normal
ACC_01882,7,5,0.75,0.0004901394435691509,0.00011404255319148936,0.015151515151515152,9952.4,13084.61,22,26,5,7,452.3818181818182,376.5528460178676,0.045454545454545456,1,22,False,normal
ACC_01238,9,10,1.1,0.0002760076405372533,0.001578476101138447,0.011695906432748537,12295.36,8361.01,25,16,10,9,491.81440000000003,323.86704087840326,0.0,1,25,False,normal
