account_id,in_degree,out_degree,degree_ratio,pagerank,betweenness,clustering_coeff,total_sent,total_received,n_txn_sent,n_txn_received,unique_receivers,unique_senders,avg_sent_amount,std_sent_amount,round_amount_ratio,max_hourly_velocity,device_diversity,is_smurf_related,role,iso_forest_score,reconstruction_score,risk_score,risk_percentile,alert_status
SINK_03,56,0,0.0175438596491228,0.0035456765365108,0.0,0.0,0.0,496741.15,0,56,0,56,0.0,0.0,0.0,0,0,True,sink,0.9891548226669007,0.9999999998114302,0.9934928935247125,100.0,CRITICAL
SINK_00,48,0,0.0204081632653061,0.0030567621674525,0.0,0.0,0.0,431920.99,0,48,0,48,0.0,0.0,0.0,0,0,True,sink,0.97536082497054,0.7661122048962969,0.8916613769408428,99.95748299319727,CRITICAL
SINK_01,47,0,0.0208333333333333,0.0029956478713202,0.0,0.0,0.0,419928.02,0,47,0,47,0.0,0.0,0.0,0,0,True,sink,0.97536082497054,0.7184022702138821,0.8725774030678768,99.91496598639455,CRITICAL
SINK_06,44,0,0.0222222222222222,0.0028123049829233,0.0,0.0,0.0,390392.37,0,44,0,44,0.0,0.0,0.0,0,0,True,sink,0.9627097287285629,0.6163862450872435,0.824180335272035,99.87244897959184,CRITICAL
SINK_07,40,0,0.024390243902439,0.0025678477983941,0.0,0.0,0.0,356714.07,0,40,0,40,0.0,0.0,0.0,0,0,True,sink,0.9487924568579748,0.5187770406832234,0.7767862903880742,99.82993197278913,CRITICAL
SINK_05,39,0,0.025,0.0025067335022618,0.0,0.0,0.0,347360.44,0,39,0,39,0.0,0.0,0.0,0,0,True,sink,0.9398201132339224,0.491801352826735,0.7606126090710474,99.7874149659864,CRITICAL
SINK_04,31,0,0.03125,0.0020178191332035,0.0,0.0,0.0,276553.52,0,31,0,31,0.0,0.0,0.0,0,0,True,sink,0.8856182884278561,0.31907519558961334,0.659001051292559,99.74489795918367,CRITICAL
SINK_02,31,0,0.03125,0.0020178191332035,0.0,0.0,0.0,272745.1,0,31,0,31,0.0,0.0,0.0,0,0,True,sink,0.88354935802976,0.30615144279890644,0.6525901919374185,99.70238095238095,CRITICAL
KING_03,0,56,57.0,7.153249159373995e-05,0.0,0.0,512199.66,0.0,56,0,56,0,9146.4225,356.4393579137973,0.0178571428571428,41,1,True,kingpin,0.9999999973785638,0.0485702027559195,0.6194280795295061,99.65986394557824,CRITICAL
KING_00,0,48,49.0,7.153249159373995e-05,0.0,0.0,445365.52,0.0,48,0,48,0,9278.448333333334,411.31230956709584,0.0,38,1,True,kingpin,0.9923367582998568,0.059991588981385326,0.6193986905724682,99.61734693877551,CRITICAL
KING_01,0,47,48.0,7.153249159373995e-05,0.0,0.0,432127.61,0.0,47,0,47,0,9194.204468085109,428.9281902036065,0.0,35,1,True,kingpin,0.9864825801902557,0.03810663435425175,0.6071322018558541,99.57482993197279,CRITICAL
KING_06,0,44,45.0,7.153249159373995e-05,0.0,0.0,403051.67,0.0,44,0,44,0,9160.265227272726,369.1200800488865,0.0227272727272727,33,1,True,kingpin,0.9894667602967588,0.032335082204594606,0.6066140890598931,99.53231292517006,CRITICAL
KING_07,0,40,41.0,7.153249159373995e-05,0.0,0.0,367470.36,0.0,40,0,40,0,9186.759,406.7982249337264,0.025,30,1,True,kingpin,0.9715142344637179,0.03170359714582424,0.5955899795365605,99.48979591836735,CRITICAL
KING_05,0,39,40.0,7.153249159373995e-05,0.0,0.0,357769.33,0.0,39,0,39,0,9173.572564102564,381.322482467737,0.0256410256410256,30,1,True,kingpin,0.9610905547615053,0.033309659216845894,0.5899781965436415,99.44727891156462,CRITICAL
KING_04,0,31,32.0,7.153249159373995e-05,0.0,0.0,285459.93,0.0,31,0,31,0,9208.384838709677,406.0854186323445,0.0,26,1,True,kingpin,0.8890067399751653,0.057296384441498906,0.5563225977616988,99.40476190476191,CRITICAL
KING_02,0,31,32.0,7.153249159373995e-05,0.0,0.0,280498.15,0.0,31,0,31,0,9048.32741935484,375.2043673428101,0.0,22,1,True,kingpin,0.876277526242498,0.02246385604431084,0.5347520581632231,99.36224489795919,CRITICAL
ACC_00624,14,10,0.7333333333333333,0.0016175587992947,0.009167659574468,0.0072463768115942,10753.18,46112.46,23,90,10,14,467.52956521739134,312.1167028019875,0.0,1,23,False,normal,0.5184577987328488,0.1554285059269898,0.3732460816105052,99.31972789115646,CRITICAL
ACC_00929,9,14,1.5,0.0013140117355478,0.0013940425531914,0.0039525691699604,17684.11,27232.54,37,52,14,9,477.9489189189189,422.7917743719437,0.0,2,37,False,normal,0.5493314578863706,0.08049408208688213,0.3617965075665752,99.27721088435374,CRITICAL
ACC_01262,14,9,0.6666666666666666,0.0015781993126258,0.0014403274634375,0.0039525691699604,11572.19,27447.24,17,56,9,14,680.7170588235293,612.337513271528,0.0,1,17,False,normal,0.4991004725088629,0.11849543308328273,0.3468584567386308,99.23469387755102,CRITICAL
ACC_01817,16,8,0.5294117647058824,0.0011619744206864,0.0051379354453588,0.0072463768115942,16907.9,26835.5,35,51,8,16,483.0828571428572,302.34104778205284,0.0,2,34,False,normal,0.5349414064866218,0.03956629786492471,0.33679136303794294,99.1921768707483,CRITICAL
ACC_00677,0,8,9.0,7.153249159373995e-05,0.0,0.0,15250.17,0.0,23,0,8,0,663.0508695652173,620.1969446431223,0.0,1,23,False,normal,0.4765233924204123,0.12019826134037906,0.333993339988399,99.14965986394559,CRITICAL
ACC_01381,8,13,1.5555555555555556,0.0003030601095344,0.0079361702127659,0.0095238095238095,22872.19,8324.6,38,16,13,8,601.8997368421052,426.61586967914246,0.0,2,37,False,normal,0.5228303048107035,0.018434972151627965,0.32107217174707325,99.10714285714286,CRITICAL
