user_id,plan_type,region,account_age_days,recency_days,frequency_7d,frequency_30d,monetary_30d,monetary_total,avg_session_duration,recent_avg_duration,avg_pages_viewed,login_trend_slope,n_orders_total,avg_order_value,top_category,churn_label,ltv_12m
U_00000,Free,West,507,24,0,1,0.0,0.0,2.0700000000000003,0.0,4.3,-0.0714285714285713,0,0.0,None,1,0.0
U_00001,Free,North,692,42,0,0,0.0,0.0,2.867272727272727,0.0,6.0,0.07142857142857138,0,0.0,None,1,0.0
U_00002,Pro,South,159,44,0,0,0.0,63.29,1.7066666666666668,0.0,4.0,-0.10000000000000012,1,63.29,Electronics,1,145.2883647798742
U_00003,Enterprise,West,775,2,1,4,515.4200000000001,1124.3400000000001,9.1904,10.93,21.32,0.021671826625387,10,112.43400000000001,Fashion,0,529.527870967742
U_00004,Pro,South,281,20,0,2,28.24,67.58,8.190384615384614,0.0,19.115384615384617,-0.00714285714285714,2,33.79,Fashion,0,87.78185053380783
U_00005,Pro,North,463,83,0,0,0.0,0.0,1.7166666666666668,0.0,3.5555555555555554,-0.035714285714285615,0,0.0,None,1,0.0
U_00006,Free,North,791,67,0,0,0.0,0.0,5.3025,0.0,12.25,-2.0083673326242142e-16,0,0.0,None,1,0.0
U_00007,Free,South,312,47,0,0,0.0,35.28,4.137777777777778,0.0,9.11111111111111,0.14285714285714293,1,35.28,Grocery,1,41.27307692307692
U_00008,Pro,East,813,20,0,1,0.0,42.65,8.557826086956522,0.0,20.73913043478261,0.07205882352941181,1,42.65,Fashion,0,19.14790897908979
U_00009,Pro,North,390,1,2,7,150.47,358.64,7.496666666666666,8.2475,15.74074074074074,-0.11208791208791229,5,71.728,Home,0,335.6502564102564
U_00010,Pro,South,778,82,0,0,0.0,300.03,5.048,0.0,11.6,-0.14285714285714277,3,100.00999999999999,Books,1,140.75957583547557
U_00011,Pro,East,756,16,0,2,0.0,270.8,6.221999999999998,0.0,13.466666666666667,0.06643356643356643,4,67.7,Beauty,0,130.74338624338625
U_00012,Free,North,400,45,0,0,0.0,0.0,4.743846153846154,0.0,10.384615384615385,-0.06666666666666654,0,0.0,None,0,0.0
U_00013,Free,West,-29,3,1,2,0.0,14.97,9.63529411764706,10.01,20.235294117647058,-0.05494505494505499,1,14.97,Toys,0,182.135
U_00014,Free,West,721,25,0,1,0.0,0.0,3.9174999999999995,0.0,10.25,-2.0083673326242142e-16,0,0.0,None,0,0.0
U_00015,Free,South,615,20,0,1,0.0,0.0,6.829473684210526,0.0,14.526315789473685,0.015384615384615344,0,0.0,None,1,0.0
U_00016,Enterprise,North,184,2,2,8,23.58,902.5300000000001,7.485333333333333,9.115000000000002,16.4,0.07647058823529411,7,128.93285714285716,Beauty,0,1790.344836956522
U_00017,Pro,West,-158,8,0,2,0.0,116.47,8.149999999999999,6.98,18.375,-0.0054945054945054654,1,116.47,Sports,0,1417.0516666666667
U_00018,Free,East,237,56,0,0,0.0,0.0,1.38,0.0,4.0,0.0,0,0.0,None,1,0.0
U_00019,Pro,West,430,79,0,0,0.0,79.19,0.3433333333333333,0.0,1.0,1.0276789547548596e-16,1,79.19,Electronics,1,67.21941860465115
U_00020,Free,South,-188,60,0,0,0.0,0.0,3.3540000000000005,0.0,8.8,-1.0507920739455759e-16,0,0.0,None,1,0.0
U_00021,Free,North,803,86,0,0,0.0,144.82,9.429,0.0,20.5,0.03571428571428586,2,72.41,Grocery,1,65.82727272727273
U_00022,Pro,East,-63,52,0,0,0.0,834.76,4.665,0.0,10.666666666666666,-0.03333333333333328,7,119.25142857142858,Fashion,1,7040.131324358977
U_00023,Free,West,544,34,0,0,0.0,0.0,4.369999999999999,0.0,9.875,-0.11428571428571434,0,0.0,None,0,0.0
U_00024,Free,North,699,11,0,2,0.0,0.0,5.3275,6.85,13.75,0.05714285714285709,0,0.0,None,0,0.0
U_00025,Free,North,727,69,0,0,0.0,49.83,7.658823529411764,0.0,18.11764705882353,-0.06666666666666664,2,24.915,Toys,0,25.017812929848695
U_00026,Free,West,524,67,0,0,0.0,0.0,2.19125,0.0,5.125,-0.17142857142857132,0,0.0,None,1,0.0
U_00027,Enterprise,East,-17,90,0,0,0.0,40.25,1.355,0.0,2.5,-7.850462293418875e-17,1,40.25,Fashion,1,489.7083333333333
U_00028,Pro,East,660,5,1,6,0.0,397.03999999999996,9.903846153846153,8.385,22.346153846153847,-0.0955882352941176,6,66.17333333333333,Toys,0,219.5751515151515
U_00029,Enterprise,West,233,1,1,1,0.0,20.24,4.405555555555555,2.02,8.0,-0.035714285714285664,1,20.24,Fashion,1,31.70643776824034
U_00030,Free,East,171,75,0,0,0.0,0.0,2.4419999999999997,0.0,5.0,-0.9999999999999998,0,0.0,None,1,0.0
U_00031,Pro,West,456,1,1,4,0.0,230.32,10.101071428571426,8.9,22.321428571428573,0.0017543859649122894,6,38.38666666666666,Beauty,0,184.35701754385963
U_00032,Free,North,269,43,0,0,0.0,46.92,5.32,0.0,10.75,6.729156486047637e-17,2,23.46,Toys,0,63.66468401486989
U_00033,Free,West,786,36,0,0,0.0,0.0,2.4325,0.0,5.125,-2.751513687042919e-17,0,0.0,None,1,0.0
U_00034,Pro,West,789,42,0,0,0.0,36.5,7.727777777777778,0.0,16.666666666666668,-0.20000000000000012,1,36.5,Sports,0,16.88529784537389
U_00035,Pro,West,633,3,2,7,21.42,361.34,9.766071428571426,8.9825,21.75,0.06372549019607844,5,72.268,Sports,0,208.3556082148499
U_00036,Enterprise,South,127,0,1,7,466.68,759.19,7.645714285714286,5.486666666666667,15.25,0.01715686274509809,6,126.53166666666668,Grocery,0,2181.9240157480317
U_00037,Pro,South,397,6,1,3,39.96,473.06000000000006,8.098181818181818,8.92,17.136363636363637,-0.07352941176470583,9,52.56222222222223,Fashion,0,434.9292191435769
U_00038,Free,South,518,1,2,7,28.98,81.11,11.51346153846154,11.406666666666666,26.153846153846153,0.017156862745098044,4,20.2775,Beauty,0,57.15279922779923
U_00039,Pro,South,228,14,0,2,0.0,129.13,5.061428571428571,0.0,11.904761904761905,0.045454545454545456,2,64.565,Toys,0,206.72127192982455
U_00040,Free,North,369,10,0,3,0.0,43.12,10.946896551724137,9.76,23.310344827586206,0.007142857142857133,3,14.373333333333333,Sports,0,42.65257452574525
