user_id,recommended_categories
U_00003,"Fashion, Beauty, Electronics"
U_00004,"Fashion, Electronics, Home"
U_00008,"Fashion, Electronics, Home"
U_00009,"Grocery, Books, Toys"
U_00010,"Sports, Toys, Home"
U_00011,"Beauty, Books, Electronics"
U_00016,"Beauty, Electronics, Home"
U_00021,"Grocery, Home, Electronics"
U_00022,"Fashion, Grocery, Toys"
U_00025,"Toys, Home, Electronics"
U_00028,"Toys, Home, Electronics"
U_00031,"Beauty, Grocery, Electronics"
U_00032,"Toys, Home, Electronics"
U_00035,"Sports, Beauty, Books"
U_00036,"Grocery, Fashion, Home"
U_00037,"Fashion, Sports, Beauty"
U_00038,"Beauty, Electronics, Home"
U_00039,"Toys, Home, Electronics"
U_00040,"Sports, Home, Electronics"
U_00041,"Grocery, Home, Electronics"
U_00042,"Books, Fashion, Beauty"
U_00043,"Grocery, Home, Electronics"
U_00044,"Grocery, Home, Electronics"
U_00045,"Grocery, Home, Electronics"
U_00046,"Fashion, Electronics, Home"
U_00047,"Grocery, Books, Toys"
U_00048,"Beauty, Toys, Electronics"
U_00049,"Grocery, Books, Toys"
U_00050,"Books, Toys, Grocery"
U_00052,"Sports, Beauty, Home"
U_00054,"Toys, Home, Electronics"
U_00057,"Sports, Fashion, Grocery"
U_00058,"Beauty, Fashion, Books"
U_00059,"Beauty, Electronics, Books"
U_00060,"Beauty, Sports, Fashion"
U_00065,"Toys, Home, Electronics"
U_00067,"Beauty, Electronics, Home"
U_00069,"Toys, Home, Electronics"
U_00070,"Toys, Books, Home"
U_00071,"Beauty, Fashion, Electronics"
U_00072,"Beauty, Electronics, Books"
U_00074,"Beauty, Electronics, Home"
U_00076,"Grocery, Home, Electronics"
U_00079,"Toys, Home, Electronics"
U_00080,"Toys, Home, Electronics"
U_00082,"Fashion, Electronics, Home"
U_00083,"Beauty, Electronics, Home"
U_00084,"Sports, Home, Electronics"
U_00085,"Beauty, Toys, Electronics"
U_00089,"Grocery, Home, Electronics"
U_00090,"Sports, Home, Electronics"
U_00091,"Fashion, Grocery, Home"
U_00092,"Fashion, Electronics, Home"
U_00094,"Books, Toys, Grocery"
U_00095,"Books, Toys, Grocery"
U_00096,"Beauty, Electronics, Home"
U_00101,"Books, Home, Grocery"
U_00103,"Fashion, Sports, Electronics"
U_00105,"Sports, Home, Electronics"
U_00107,"Grocery, Books, Toys"
U_00109,"Grocery, Toys, Fashion"
U_00110,"Grocery, Home, Electronics"
U_00111,"Grocery, Home, Electronics"
U_00112,"Books, Home, Electronics"
U_00113,"Books, Home, Electronics"
U_00116,"Toys, Fashion, Home"
U_00117,"Fashion, Electronics, Home"
U_00118,"Grocery, Books, Toys"
U_00119,"Grocery, Books, Toys"
U_00122,"Sports, Home, Electronics"
U_00123,"Beauty, Grocery, Books"
U_00124,"Books, Toys, Grocery"
U_00125,"Fashion, Electronics, Home"
U_00126,"Sports, Home, Electronics"
U_00129,"Beauty, Electronics, Home"
U_00131,"Beauty, Electronics, Grocery"
U_00132,"Sports, Toys, Home"
U_00136,"Fashion, Books, Home"
U_00139,"Sports, Home, Electronics"
U_00140,"Fashion, Electronics, Home"
U_00142,"Books, Toys, Grocery"
U_00143,"Fashion, Books, Electronics"
U_00145,"Grocery, Home, Electronics"
U_00147,"Toys, Home, Electronics"
U_00148,"Sports, Home, Electronics"
U_00149,"Grocery, Home, Electronics"
U_00150,"Books, Home, Grocery"
U_00152,"Grocery, Books, Toys"
U_00158,"Sports, Fashion, Grocery"
U_00164,"Beauty, Electronics, Books"
U_00166,"Grocery, Home, Electronics"
U_00168,"Beauty, Toys, Books"
U_00174,"Fashion, Beauty, Electronics"
U_00175,"Sports, Home, Electronics"
U_00177,"Books, Toys, Grocery"
U_00181,"Grocery, Home, Electronics"
U_00182,"Toys, Home, Books"
U_00186,"Toys, Home, Electronics"
U_00189,"Grocery, Books, Toys"
U_00191,"Beauty, Electronics, Home"
U_00193,"Toys, Home, Electronics"
U_00197,"Books, Home, Electronics"
U_00202,"Books, Toys, Grocery"
U_00203,"Beauty, Books, Toys"
U_00205,"Books, Home, Electronics"
U_00206,"Grocery, Home, Electronics"
U_00208,"Grocery, Beauty, Fashion"
U_00209,"Beauty, Electronics, Home"
U_00211,"Toys, Home, Electronics"
U_00212,"Sports, Home, Electronics"
U_00213,"Sports, Home, Electronics"
U_00215,"Grocery, Sports, Home"
U_00216,"Books, Fashion, Home"
U_00217,"Beauty, Sports, Electronics"
U_00220,"Fashion, Books, Home"
U_00221,"Fashion, Electronics, Home"
U_00224,"Grocery, Books, Home"
U_00229,"Grocery, Home, Electronics"
U_00230,"Beauty, Electronics, Home"
U_00231,"Books, Home, Electronics"
U_00232,"Toys, Home, Electronics"
U_00233,"Fashion, Electronics, Home"
U_00234,"Toys, Beauty, Grocery"
U_00235,"Beauty, Books, Sports"
U_00243,"Grocery, Home, Electronics"
U_00245,"Beauty, Electronics, Home"
U_00246,"Beauty, Sports, Electronics"
U_00248,"Books, Toys, Grocery"
U_00251,"Beauty, Electronics, Home"
U_00254,"Sports, Home, Electronics"
U_00256,"Beauty, Electronics, Home"
U_00257,"Beauty, Fashion, Books"
U_00259,"Fashion, Toys, Electronics"
U_00261,"Books, Toys, Grocery"
U_00263,"Books, Home, Electronics"
U_00264,"Toys, Home, Fashion"
U_00271,"Fashion, Home, Electronics"
U_00272,"Fashion, Electronics, Home"
U_00273,"Books, Home, Grocery"
U_00274,"Fashion, Electronics, Home"
U_00275,"Toys, Fashion, Home"
U_00277,"Toys, Home, Electronics"
U_00278,"Beauty, Sports, Electronics"
U_00281,"Beauty, Electronics, Home"
U_00283,"Books, Toys, Grocery"
U_00284,"Grocery, Books, Toys"
U_00287,"Grocery, Beauty, Home"
U_00288,"Beauty, Electronics, Home"
U_00289,"Toys, Home, Electronics"
U_00290,"Sports, Home, Electronics"
U_00291,"Beauty, Grocery, Books"
U_00292,"Books, Home, Electronics"
U_00293,"Beauty, Toys, Sports"
U_00295,"Books, Toys, Grocery"
U_00296,"Grocery, Home, Electronics"
U_00297,"Sports, Home, Electronics"
U_00299,"Toys, Home, Electronics"
U_00300,"Grocery, Books, Toys"
U_00301,"Beauty, Electronics, Home"
U_00303,"Sports, Grocery, Home"
U_00304,"Fashion, Electronics, Home"
U_00306,"Beauty, Grocery, Books"
U_00312,"Books, Toys, Home"
U_00317,"Books, Beauty, Home"
U_00318,"Books, Home, Electronics"
U_00320,"Toys, Home, Books"
U_00323,"Beauty, Electronics, Home"
U_00324,"Grocery, Toys, Home"
U_00325,"Books, Toys, Grocery"
U_00328,"Sports, Home, Grocery"
U_00331,"Books, Home, Electronics"
U_00333,"Toys, Home, Electronics"
U_00334,"Fashion, Grocery, Home"
U_00335,"Books, Home, Electronics"
U_00336,"Grocery, Books, Toys"
U_00337,"Grocery, Books, Home"
U_00338,"Books, Home, Electronics"
U_00341,"Fashion, Electronics, Home"
U_00344,"Grocery, Home, Electronics"
U_00346,"Grocery, Sports, Home"
U_00347,"Grocery, Books, Toys"
U_00348,"Grocery, Toys, Home"
U_00350,"Beauty, Electronics, Home"
U_00351,"Grocery, Toys, Home"
U_00354,"Beauty, Electronics, Home"
U_00355,"Books, Fashion, Home"
U_00356,"Fashion, Electronics, Home"
U_00357,"Toys, Home, Electronics"
U_00358,"Toys, Home, Electronics"
U_00359,"Toys, Home, Electronics"
U_00361,"Grocery, Fashion, Home"
U_00362,"Toys, Home, Fashion"
U_00364,"Grocery, Home, Electronics"
U_00365,"Grocery, Home, Electronics"
U_00366,"Fashion, Electronics, Home"
U_00369,"Books, Fashion, Home"
U_00370,"Books, Home, Electronics"
U_00371,"Toys, Grocery, Home"
U_00373,"Beauty, Electronics, Home"
U_00374,"Beauty, Electronics, Home"
U_00375,"Grocery, Books, Toys"
U_00381,"Grocery, Home, Books"
U_00383,"Grocery, Books, Toys"
U_00384,"Sports, Home, Electronics"
U_00386,"Grocery, Home, Electronics"
U_00389,"Beauty, Electronics, Books"
U_00392,"Books, Toys, Grocery"
U_00398,"Books, Home, Electronics"
U_00402,"Books, Toys, Grocery"
U_00405,"Beauty, Electronics, Home"
U_00408,"Sports, Home, Electronics"
U_00411,"Toys, Sports, Home"
U_00414,"Sports, Home, Electronics"
U_00415,"Grocery, Home, Electronics"
U_00416,"Toys, Home, Electronics"
U_00417,"Fashion, Books, Home"
U_00418,"Beauty, Electronics, Home"
U_00421,"Grocery, Home, Electronics"
U_00422,"Sports, Home, Electronics"
U_00424,"Fashion, Electronics, Home"
U_00425,"Books, Toys, Grocery"
U_00426,"Fashion, Sports, Electronics"
U_00427,"Beauty, Grocery, Electronics"
U_00428,"Books, Toys, Grocery"
U_00430,"Toys, Home, Electronics"
U_00432,"Beauty, Toys, Books"
U_00437,"Books, Toys, Home"
U_00439,"Sports, Home, Electronics"
U_00440,"Books, Home, Electronics"
U_00445,"Fashion, Home, Electronics"
U_00448,"Fashion, Electronics, Home"
U_00449,"Beauty, Toys, Electronics"
U_00450,"Sports, Home, Electronics"
U_00451,"Grocery, Books, Toys"
U_00452,"Grocery, Books, Toys"
U_00453,"Fashion, Beauty, Electronics"
U_00455,"Grocery, Beauty, Home"
U_00456,"Books, Grocery, Toys"
U_00457,"Sports, Home, Electronics"
U_00458,"Grocery, Books, Toys"
U_00459,"Toys, Beauty, Home"
U_00463,"Sports, Home, Electronics"
U_00466,"Sports, Home, Electronics"
U_00467,"Grocery, Books, Toys"
U_00468,"Fashion, Electronics, Home"
U_00469,"Beauty, Fashion, Electronics"
U_00470,"Toys, Home, Electronics"
U_00473,"Sports, Toys, Home"
U_00474,"Fashion, Electronics, Home"
U_00475,"Grocery, Books, Home"
U_00477,"Beauty, Electronics, Home"
U_00479,"Grocery, Home, Electronics"
U_00481,"Fashion, Toys, Home"
U_00483,"Fashion, Beauty, Electronics"
U_00484,"Sports, Home, Electronics"
U_00485,"Beauty, Electronics, Home"
U_00486,"Books, Home, Electronics"
U_00487,"Toys, Home, Electronics"
