user_id,signup_date,plan_type,region,churn_label
U_00000,2024-07-12,Free,West,1
U_00001,2024-01-09,Free,North,1
U_00002,2025-06-25,Pro,South,1
U_00003,2023-10-18,Enterprise,West,0
U_00004,2025-02-23,Pro,South,0
U_00005,2024-08-25,Pro,North,1
U_00006,2023-10-02,Free,North,1
U_00007,2025-01-23,Free,South,1
U_00008,2023-09-10,Pro,East,0
U_00009,2024-11-06,Pro,North,0
U_00010,2023-10-15,Pro,South,1
U_00011,2023-11-06,Pro,East,0
U_00012,2024-10-27,Free,North,0
U_00013,2025-12-30,Free,West,0
U_00014,2023-12-11,Free,West,0
U_00015,2024-03-26,Free,South,1
U_00016,2025-05-31,Enterprise,North,0
U_00017,2026-05-08,Pro,West,0
U_00018,2025-04-08,Free,East,1
U_00019,2024-09-27,Pro,West,1
U_00020,2026-06-07,Free,South,1
U_00021,2023-09-20,Free,North,1
U_00022,2026-02-02,Pro,East,1
U_00023,2024-06-05,Free,West,0
U_00024,2024-01-02,Free,North,0
U_00025,2023-12-05,Free,North,0
U_00026,2024-06-25,Free,West,1
U_00027,2025-12-18,Enterprise,East,1
U_00028,2024-02-10,Pro,East,0
U_00029,2025-04-12,Enterprise,West,1
U_00030,2025-06-13,Free,East,1
U_00031,2024-09-01,Pro,West,0
U_00032,2025-03-07,Free,North,0
U_00033,2023-10-07,Free,West,1
U_00034,2023-10-04,Pro,West,0
U_00035,2024-03-08,Pro,West,0
U_00036,2025-07-27,Enterprise,South,0
U_00037,2024-10-30,Pro,South,0
U_00038,2024-07-01,Free,South,0
U_00039,2025-04-17,Pro,South,0
U_00040,2024-11-27,Free,North,0
U_00041,2024-06-16,Pro,East,0
U_00042,2025-11-25,Pro,North,0
U_00043,2025-08-16,Free,West,0
U_00044,2024-04-18,Pro,North,1
U_00045,2025-04-05,Enterprise,North,0
U_00046,2025-02-11,Free,South,0
U_00047,2026-02-19,Free,North,0
U_00048,2025-09-17,Pro,North,0
U_00049,2024-06-03,Free,North,0
U_00050,2026-06-11,Free,North,0
U_00051,2023-12-05,Free,South,1
U_00052,2024-10-20,Enterprise,East,0
U_00053,2025-10-17,Pro,North,1
U_00054,2024-01-11,Pro,West,0
U_00055,2025-01-04,Free,North,1
U_00056,2023-09-12,Pro,East,0
U_00057,2025-07-14,Enterprise,South,0
