transaction_id,timestamp,sender_account,receiver_account,amount,device_id
88a8cfec,2025-01-01 00:00:00,ACC_01576,ACC_01226,311.94,DEV_486
54a62430,2025-01-01 00:08:00,ACC_01041,ACC_00937,1009.43,DEV_454
8b9938a6,2025-01-01 00:08:00,ACC_00234,ACC_00341,1077.16,DEV_209
b170b460,2025-01-01 00:12:00,ACC_00419,ACC_01006,406.73,DEV_585
15050ca2,2025-01-01 00:15:00,ACC_01538,ACC_01947,934.94,DEV_462
547b7efe,2025-01-01 00:15:00,ACC_01288,ACC_01420,149.19,DEV_629
2f59911f,2025-01-01 00:17:00,ACC_01128,ACC_00936,224.47,DEV_555
a51abd14,2025-01-01 00:18:00,ACC_00648,ACC_01449,307.36,DEV_713
da3d7171,2025-01-01 00:26:00,ACC_00822,ACC_01286,218.11,DEV_255
280ae4e7,2025-01-01 00:27:00,ACC_01523,ACC_00433,590.28,DEV_178
79f5d9c5,2025-01-01 00:32:00,ACC_00455,ACC_01245,418.86,DEV_530
96e32870,2025-01-01 00:36:00,ACC_00661,ACC_00388,1758.58,DEV_732
12dc6c98,2025-01-01 00:42:00,ACC_01959,ACC_00878,956.83,DEV_838
81926438,2025-01-01 00:51:00,ACC_01605,ACC_00245,168.95,DEV_818
1cf2d803,2025-01-01 00:56:00,ACC_01698,ACC_00808,522.81,DEV_133
33407a60,2025-01-01 00:57:00,ACC_00622,ACC_01703,469.73,DEV_359
d01b1f78,2025-01-01 01:00:00,ACC_01995,ACC_01952,111.04,DEV_817
f250b075,2025-01-01 01:03:00,ACC_00552,ACC_01225,501.0,DEV_411
e81a6ce4,2025-01-01 01:08:00,ACC_00571,ACC_00280,405.28,DEV_141
7600f24e,2025-01-01 01:14:00,ACC_00296,ACC_00101,349.02,DEV_202
06645500,2025-01-01 01:19:00,ACC_01488,ACC_00147,569.92,DEV_633
f3edc99e,2025-01-01 01:30:00,ACC_00643,ACC_01170,624.93,DEV_684
67abc0b3,2025-01-01 01:48:00,ACC_01308,ACC_00702,95.34,DEV_799
04b69512,2025-01-01 01:52:00,ACC_01882,ACC_01238,426.65,DEV_534
11fbf468,2025-01-01 01:52:00,ACC_01324,ACC_00235,277.14,DEV_634
a8b25b27,2025-01-01 01:53:00,ACC_01089,ACC_01257,372.29,DEV_423
a291c2d7,2025-01-01 01:55:00,ACC_01114,ACC_01965,442.08,DEV_816
f996ff17,2025-01-01 01:55:00,ACC_01496,ACC_01300,891.33,DEV_635
10101360,2025-01-01 02:02:00,ACC_01826,ACC_00970,183.89,DEV_273
c287d32e,2025-01-01 02:02:00,ACC_01483,ACC_01749,331.89,DEV_809
0c56b4b2,2025-01-01 02:04:00,ACC_01877,ACC_00916,191.04,DEV_169
0a6c3716,2025-01-01 02:12:00,ACC_01665,ACC_01178,412.85,DEV_832
94a0fc7b,2025-01-01 02:20:00,ACC_00222,ACC_01045,490.76,DEV_814
